generacja 224, waga 995, wartosc 6140, ocena 9215:
generacja 225, waga 978, wartosc 6147, ocena 9242.5:
generacja 226, waga 941, wartosc 6069, ocena 9162.5:
generacja 227, waga 979, wartosc 6300, ocena 9471:
generacja 228, waga 935, wartosc 6141, ocena 9276.5:
generacja 229, waga 992, wartosc 6157, ocena 9243.5:
generacja 230, waga 994, wartosc 6294, ocena 9447:
generacja 231, waga 942, wartosc 6216, ocena 9382:
generacja 232, waga 942, wartosc 6216, ocena 9382:
generacja 233, waga 985, wartosc 6231, ocena 9361.5:
generacja 234, waga 945, wartosc 6198, ocena 9352:
generacja 235, waga 901, wartosc 6170, ocena 9354:
generacja 236, waga 932, wartosc 6211, ocena 9384.5:
generacja 237, waga 952, wartosc 6174, ocena 9309:
generacja 238, waga 959, wartosc 6227, ocena 9381.5:
generacja 239, waga 996, wartosc 6479, ocena 9722.5:
generacja 240, waga 971, wartosc 6387, ocena 9609.5:
generacja 241, waga 887, wartosc 6160, ocena 9353:
generacja 242, waga 969, wartosc 6213, ocena 9350.5:
generacja 243, waga 943, wartosc 6361, ocena 9598.5:
generacja 244, waga 997, wartosc 6247, ocena 9373.5:
generacja 245, waga 974, wartosc 6301, ocena 9477.5:
generacja 246, waga 980, wartosc 6349, ocena 9543.5:
generacja 247, waga 961, wartosc 6295, ocena 9481.5:
generacja 248, waga 905, wartosc 6301, ocena 9546.5:
generacja 249, waga 953, wartosc 6206, ocena 9356:
generacja 250, waga 974, wartosc 6263, ocena 9420.5:
generacja 251, waga 890, wartosc 6200, ocena 9410:
generacja 252, waga 984, wartosc 6469, ocena 9719.5:
generacja 253, waga 992, wartosc 6234, ocena 9359:
generacja 254, waga 963, wartosc 6254, ocena 9418:
generacja 255, waga 935, wartosc 6301, ocena 9516.5:
generacja 256, waga 903, wartosc 6209, ocena 9410.5:
generacja 257, waga 966, wartosc 6383, ocena 9608.5:
generacja 258, waga 968, wartosc 6320, ocena 9512:
generacja 259, waga 871, wartosc 6192, ocena 9417:
generacja 260, waga 994, wartosc 6274, ocena 9417:
generacja 261, waga 995, wartosc 6238, ocena 9362:
generacja 262, waga 984, wartosc 6353, ocena 9545.5:
generacja 263, waga 941, wartosc 6407, ocena 9669.5:
generacja 264, waga 983, wartosc 6397, ocena 9612.5:
generacja 265, waga 936, wartosc 6345, ocena 9581.5:
generacja 266, waga 972, wartosc 6310, ocena 9493:
generacja 267, waga 976, wartosc 6369, ocena 9577.5:
generacja 268, waga 964, wartosc 6669, ocena 10039.5:
generacja 269, waga 991, wartosc 6417, ocena 9634.5:
generacja 270, waga 975, wartosc 6413, ocena 9644.5:
generacja 271, waga 980, wartosc 6485, ocena 9747.5:
generacja 272, waga 952, wartosc 6413, ocena 9667.5:
generacja 273, waga 985, wartosc 6532, ocena 9813:
generacja 274, waga 960, wartosc 6375, ocena 9602.5:
generacja 275, waga 998, wartosc 6437, ocena 9657.5:
generacja 276, waga 979, wartosc 6391, ocena 9607.5:
generacja 277, waga 967, wartosc 6464, ocena 9729:
generacja 278, waga 953, wartosc 6472, ocena 9755:
generacja 279, waga 923, wartosc 6421, ocena 9708.5:
generacja 280, waga 954, wartosc 6506, ocena 9805:
generacja 281, waga 942, wartosc 6548, ocena 9880:
generacja 282, waga 967, wartosc 6549, ocena 9856.5:
generacja 283, waga 998, wartosc 6565, ocena 9849.5:
generacja 284, waga 952, wartosc 6415, ocena 9670.5:
generacja 285, waga 978, wartosc 6418, ocena 9649:
generacja 286, waga 982, wartosc 6458, ocena 9705:
generacja 287, waga 985, wartosc 6479, ocena 9733.5:
generacja 288, waga 990, wartosc 6518, ocena 9787:
generacja 289, waga 990, wartosc 6484, ocena 9736:
generacja 290, waga 962, wartosc 6451, ocena 9714.5:
generacja 291, waga 956, wartosc 6440, ocena 9704:
generacja 292, waga 969, wartosc 6448, ocena 9703:
generacja 293, waga 989, wartosc 6574, ocena 9872:
